Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1
0,50,0.9638573743922204,0.915,0.048857374392220376,0.9855778235624649,0.9659574468085106,0.01962037675395434,0.7280487804878049,0.26512968299711814,0.4629190974906867,1.0,1.0,0.0
1,50,0.9659163987138264,0.9169491525423729,0.04896724617145354,0.9873488372093023,0.9663299663299664,0.02101887087933596,0.7389162561576355,0.31564245810055863,0.4232737980570768,1.0,1.0,0.0
2,50,0.9623865110246433,0.9193870752831446,0.04299943574149878,0.9878413767302656,0.9663187855787476,0.021522591151518,0.7063291139240506,0.3423913043478261,0.3639378095762245,1.0,1.0,0.0
3,50,0.9620883534136546,0.9185059422750425,0.043582411138612165,0.9884328358208955,0.9617956064947469,0.026637229326148537,0.7104294478527607,0.27710843373493976,0.433321014117821,1.0,1.0,0.0
4,50,0.9656396192934344,0.9232581622349377,0.04238145705849672,0.9902966971449897,0.9689737470167065,0.021322950128283225,0.737037037037037,0.3090909090909091,0.42794612794612796,1.0,1.0,0.0
5,50,0.9620435618193466,0.9169514695830485,0.045092092236298065,0.9870178041543026,0.9631425800193987,0.02387522413490395,0.7141133896260555,0.2894736842105263,0.4246397054155292,1.0,1.0,0.0
6,50,0.9654895666131621,0.9217687074829932,0.043720859130168876,0.9873488372093023,0.9672919672919673,0.02005686991733502,0.7332506203473945,0.2923076923076923,0.4409429280397022,1.0,1.0,0.0
7,50,0.9593628088426528,0.9102054340622929,0.049157374780359864,0.9838285069575028,0.9602059925093633,0.023622514448139453,0.6774193548387096,0.23011363636363635,0.4473057184750733,1.0,1.0,0.0
8,50,0.9629871188651558,0.9124135660190978,0.05057355284605791,0.9864687088893065,0.9662447257383966,0.020223983150909897,0.710828025477707,0.29815303430079154,0.4126749911769154,1.0,1.0,0.0
9,50,0.964516129032258,0.9424242424242424,0.022091886608015643,0.9895463879036774,0.9790176442536958,0.010528743649981687,0.7365269461077845,0.465625,0.27090194610778445,1.0,1.0,0.0
10,50,0.9658340048348106,0.9153456998313659,0.0504883050034447,0.987544153188325,0.9667469879518072,0.020797165236517756,0.7343358395989975,0.26822157434402333,0.4661142652549742,1.0,1.0,0.0
11,50,0.9637878545104951,0.9129395698190509,0.0508482846914442,0.9886469383956821,0.9581931763575204,0.030453762038161636,0.7080103359173127,0.2153846153846154,0.49262572053269726,1.0,1.0,0.0
12,50,0.9610920385810038,0.9092695709138552,0.0518224676671486,0.9867624810892587,0.9616805170821792,0.025081964007079516,0.7101096224116931,0.24316939890710382,0.46694022350458925,1.0,1.0,0.0
13,50,0.9635083226632523,0.921286789869952,0.04222153279330021,0.9880996653030867,0.9667630057803468,0.021336659522739887,0.7233009708737864,0.2834890965732087,0.4398118743005777,1.0,1.0,0.0
14,50,0.9633365353826449,0.9045827633378933,0.05875377204475152,0.9884993507698016,0.9597673291323315,0.028732021637470018,0.7210718635809987,0.2140845070422535,0.5069873565387453,1.0,1.0,0.0
15,50,0.9650864830237027,0.9145591250854409,0.0505273579382618,0.9861521418020679,0.9622178606476938,0.023934281154374126,0.7420118343195267,0.28160919540229884,0.4604026389172278,1.0,1.0,0.0
16,50,0.9648070061628284,0.9217709720372836,0.0430360341255448,0.9885874649204864,0.963963963963964,0.024623500956522437,0.7343941248470012,0.2857142857142857,0.4486798391327155,1.0,1.0,0.0
17,50,0.9652665589660743,0.9093959731543624,0.05587058581171189,0.9891548242333582,0.9610636277302944,0.028091196503063798,0.7488317757009346,0.2520775623268698,0.49675421337406483,1.0,1.0,0.0
18,50,0.9614824405243567,0.916081578067536,0.045400862456820734,0.9876612450925406,0.9672209026128266,0.020440342479714046,0.7017543859649122,0.30277777777777776,0.3989766081871345,1.0,1.0,0.0
19,50,0.9591439688715954,0.9213857428381079,0.03775822603348744,0.9864483342744212,0.966837926202709,0.019610408071712215,0.6911764705882353,0.2891566265060241,0.4020198440822112,1.0,1.0,0.0
0,16,0.9633711507293355,0.916,0.04737115072933551,0.9850159205843791,0.9673758865248226,0.017640034059556498,0.724390243902439,0.2737752161383285,0.4506150277641105,1.0,1.0,0.0
1,16,0.9668810289389067,0.9176271186440678,0.04925391029483894,0.9882790697674418,0.9672919672919673,0.02098710247547453,0.7463054187192119,0.32122905027932963,0.4250763684398822,1.0,1.0,0.0
2,16,0.9623865110246433,0.9157228514323784,0.04666365959226493,0.9878413767302656,0.963472485768501,0.024368890961764644,0.7063291139240506,0.3125,0.3938291139240506,1.0,1.0,0.0
3,16,0.9620883534136546,0.9188455008488964,0.04324285256475824,0.9884328358208955,0.9622731614135626,0.02615967440733291,0.7104294478527607,0.28012048192771083,0.4303089659250499,1.0,1.0,0.0
4,16,0.9653169866107437,0.9235947492426793,0.04172223736806446,0.9899234931890278,0.9689737470167065,0.02094974617232137,0.7345679012345679,0.31212121212121213,0.4224466891133558,1.0,1.0,0.0
5,16,0.9620435618193466,0.9172932330827067,0.044750328736639866,0.9870178041543026,0.9631425800193987,0.02387522413490395,0.7141133896260555,0.29239766081871343,0.4217157288073421,1.0,1.0,0.0
6,16,0.965008025682183,0.9136054421768708,0.05140258350531224,0.9867906976744186,0.9605579605579606,0.026232737116458016,0.7295285359801489,0.21846153846153846,0.5110669975186104,1.0,1.0,0.0
7,16,0.9592002600780234,0.9082173624917164,0.05098289758630703,0.9836404663407295,0.9578651685393258,0.02577529780140375,0.6761290322580645,0.21306818181818182,0.4630608504398827,1.0,1.0,0.0
8,16,0.9638023805641611,0.9124135660190978,0.05138881454506328,0.9870325126855855,0.9662447257383966,0.020787786947188858,0.7171974522292993,0.29815303430079154,0.4190444179285078,1.0,1.0,0.0
9,16,0.9648387096774194,0.928956228956229,0.03588248072119038,0.9895463879036774,0.9709108249880782,0.018635562915599202,0.7389221556886227,0.340625,0.39829715568862273,1.0,1.0,0.0
10,16,0.9659951651893635,0.9146711635750422,0.05132400161432127,0.9877300613496932,0.9657831325301205,0.02194692881957272,0.7355889724310777,0.26239067055393583,0.47319830187714185,1.0,1.0,0.0
11,16,0.9637878545104951,0.9153294639808809,0.048458390529614204,0.9886469383956821,0.9615569437770303,0.027089994618651803,0.7080103359173127,0.23692307692307693,0.47108725899423576,1.0,1.0,0.0
12,16,0.9607650809220206,0.9184408778250901,0.042324203096930524,0.9867624810892587,0.9695290858725761,0.017233395216682545,0.707673568818514,0.319672131147541,0.38800143767097295,1.0,1.0,0.0
13,16,0.9635083226632523,0.921286789869952,0.04222153279330021,0.9880996653030867,0.9667630057803468,0.021336659522739887,0.7233009708737864,0.2834890965732087,0.4398118743005777,1.0,1.0,0.0
14,16,0.9633365353826449,0.9045827633378933,0.05875377204475152,0.9884993507698016,0.9597673291323315,0.028732021637470018,0.7210718635809987,0.2140845070422535,0.5069873565387453,1.0,1.0,0.0
15,16,0.9650864830237027,0.9316473000683527,0.03343918295534998,0.9861521418020679,0.9739941118743867,0.012158029927681224,0.7420118343195267,0.42528735632183906,0.3167244779976876,1.0,1.0,0.0
16,16,0.9648070061628284,0.9197736351531292,0.045033371009699286,0.9885874649204864,0.9615931721194879,0.02699429280099852,0.7343941248470012,0.2674772036474164,0.4669169211995848,1.0,1.0,0.0
17,16,0.9652665589660743,0.9083892617449665,0.05687729722110779,0.9891548242333582,0.959639126305793,0.029515697927565254,0.7488317757009346,0.24376731301939059,0.505064462681544,1.0,1.0,0.0
18,16,0.9614824405243567,0.9164159144098963,0.04506652611446038,0.9876612450925406,0.9672209026128266,0.020440342479714046,0.7017543859649122,0.3055555555555556,0.39619883040935666,1.0,1.0,0.0
19,16,0.9594682230869002,0.9133910726182545,0.04607715046864569,0.9868247694334651,0.9598318542737039,0.02699291515976121,0.6936274509803921,0.21686746987951808,0.47675998110087403,1.0,1.0,0.0
0,8,0.9633711507293355,0.916,0.04737115072933551,0.9850159205843791,0.9673758865248226,0.017640034059556498,0.724390243902439,0.2737752161383285,0.4506150277641105,1.0,1.0,0.0
1,8,0.9667202572347267,0.9179661016949152,0.04875415553981144,0.9880930232558139,0.9677729677729677,0.02032005548284621,0.7450738916256158,0.3240223463687151,0.4210515452569007,1.0,1.0,0.0
2,8,0.9620622568093385,0.9030646235842772,0.05899763322506135,0.9876543209876543,0.9563567362428842,0.03129758474477007,0.7037974683544304,0.20923913043478262,0.49455833791964776,1.0,1.0,0.0
3,8,0.9620883534136546,0.9188455008488964,0.04324285256475824,0.9884328358208955,0.9622731614135626,0.02615967440733291,0.7104294478527607,0.28012048192771083,0.4303089659250499,1.0,1.0,0.0
4,8,0.9656396192934344,0.9239313362504208,0.04170828304301366,0.9902966971449897,0.9689737470167065,0.021322950128283225,0.737037037037037,0.3151515151515151,0.4218855218855219,1.0,1.0,0.0
5,8,0.9620435618193466,0.9172932330827067,0.044750328736639866,0.9870178041543026,0.9631425800193987,0.02387522413490395,0.7141133896260555,0.29239766081871343,0.4217157288073421,1.0,1.0,0.0
6,8,0.9648475120385233,0.9136054421768708,0.05124206986165247,0.9866046511627907,0.9605579605579606,0.026046690604830114,0.728287841191067,0.21846153846153846,0.5098263027295286,1.0,1.0,0.0
7,8,0.9592002600780234,0.9108681245858185,0.04833213549220494,0.9836404663407295,0.9611423220973783,0.02249814424335128,0.6761290322580645,0.23579545454545456,0.44033357771260995,1.0,1.0,0.0
8,8,0.9638023805641611,0.9124135660190978,0.05138881454506328,0.9870325126855855,0.9662447257383966,0.020787786947188858,0.7171974522292993,0.29815303430079154,0.4190444179285078,1.0,1.0,0.0
9,8,0.964516129032258,0.9424242424242424,0.022091886608015643,0.9895463879036774,0.9790176442536958,0.010528743649981687,0.7365269461077845,0.465625,0.27090194610778445,1.0,1.0,0.0
10,8,0.9658340048348106,0.9153456998313659,0.0504883050034447,0.987544153188325,0.9667469879518072,0.020797165236517756,0.7343358395989975,0.26822157434402333,0.4661142652549742,1.0,1.0,0.0
11,8,0.9637878545104951,0.9146466370775008,0.049141217432994266,0.9886469383956821,0.9601153291686689,0.028531609227013144,0.7080103359173127,0.23076923076923078,0.4772411051480819,1.0,1.0,0.0
12,8,0.960601602092529,0.9092695709138552,0.0513320311786738,0.9867624810892587,0.9616805170821792,0.025081964007079516,0.7064555420219245,0.24316939890710382,0.4632861431148207,1.0,1.0,0.0
13,8,0.9635083226632523,0.921286789869952,0.04222153279330021,0.9880996653030867,0.9667630057803468,0.021336659522739887,0.7233009708737864,0.2834890965732087,0.4398118743005777,1.0,1.0,0.0
14,8,0.9634966378482228,0.9001367989056087,0.0633598389426141,0.9886848451122241,0.9587978671837131,0.029886977928511027,0.7222898903775883,0.17746478873239438,0.5448251016451939,1.0,1.0,0.0
15,8,0.9650864830237027,0.9152426520847573,0.0498438309389454,0.9861521418020679,0.9636898920510304,0.0224622497510375,0.7420118343195267,0.28735632183908044,0.4546555124804462,1.0,1.0,0.0
16,8,0.9648070061628284,0.920439414114514,0.04436759204831442,0.9885874649204864,0.9625414888572783,0.02604597606320813,0.7343941248470012,0.2735562310030395,0.4608378938439617,1.0,1.0,0.0
17,8,0.9652665589660743,0.9093959731543624,0.05587058581171189,0.9891548242333582,0.9610636277302944,0.028091196503063798,0.7488317757009346,0.2520775623268698,0.49675421337406483,1.0,1.0,0.0
18,8,0.9614824405243567,0.9164159144098963,0.04506652611446038,0.9876612450925406,0.9672209026128266,0.020440342479714046,0.7017543859649122,0.3055555555555556,0.39619883040935666,1.0,1.0,0.0
19,8,0.9599546044098574,0.9133910726182545,0.046563531791602886,0.9873894221720309,0.9598318542737039,0.027557567898326973,0.6973039215686274,0.21686746987951808,0.4804364516891093,1.0,1.0,0.0
0,5,0.9633711507293355,0.9313333333333333,0.0320378173960022,0.9850159205843791,0.9773049645390071,0.007710956045372086,0.724390243902439,0.40634005763688763,0.31805018626555137,1.0,1.0,0.0
1,5,0.9660771704180064,0.9179661016949152,0.04811106872309123,0.9875348837209302,0.9677729677729677,0.019761915947962505,0.7401477832512315,0.3240223463687151,0.41612543688251646,1.0,1.0,0.0
2,5,0.9623865110246433,0.9180546302465024,0.044331880778140986,0.9878413767302656,0.9648956356736242,0.022945741056641378,0.7063291139240506,0.33152173913043476,0.37480737479361587,1.0,1.0,0.0
3,5,0.9620883534136546,0.9168081494057725,0.04528020400788213,0.9884328358208955,0.9598853868194842,0.028547449001411263,0.7104294478527607,0.2620481927710843,0.4483812550816764,1.0,1.0,0.0
