Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1,CSP_X2_maj,CSP_X2_min,CSD_X2,CSP_X3_maj,CSP_X3_min,CSD_X3,CSP_X4_maj,CSP_X4_min,CSD_X4
0,16,1.0,0.5121690291521798,0.48783097084782023,1.0,0.6756694367497692,0.3243305632502308,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,16,1.0,0.5081588251291814,0.4918411748708186,1.0,0.6791431261770244,0.32085687382297556,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2,16,1.0,0.5076733351603179,0.4923266648396821,1.0,0.6778586522657901,0.3221413477342099,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
3,16,1.0,0.5180901143241425,0.48190988567585746,1.0,0.6851211072664359,0.31487889273356406,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
4,16,1.0,0.5135722041259501,0.48642779587404994,1.0,0.6916019760056458,0.30839802399435423,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
5,16,1.0,0.51577962021931,0.48422037978069,1.0,0.6831569259088818,0.3168430740911182,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
6,16,1.0,0.5222087214796813,0.47779127852031866,1.0,0.68994928538497,0.31005071461503,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
7,16,1.0,0.5176244685228364,0.4823755314771636,1.0,0.689760450915923,0.310239549084077,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
8,16,1.0,0.5167668670674682,0.4832331329325318,1.0,0.6894882434301521,0.31051175656984786,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
9,16,1.0,0.5160723933009185,0.4839276066990815,1.0,0.6859825927622538,0.3140174072377462,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
