Seed_num,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1
0,0.1791044776119403,0.30303030303030304,-0.12392582541836275,0.18421052631578946,0.4090909090909091,-0.22488038277511965,0.10344827586206896,0.21052631578947367,-0.10707803992740471,0.23684210526315788,0.42857142857142855,-0.19172932330827067
1,0.11428571428571428,0.38333333333333336,-0.2690476190476191,0.09302325581395349,0.5294117647058824,-0.4363885088919289,0.13846153846153847,0.34210526315789475,-0.20364372469635628,0.09333333333333334,0.45454545454545453,-0.3612121212121212
2,0.24113475177304963,0.4576271186440678,-0.21649236687101817,0.2619047619047619,0.5,-0.23809523809523808,0.25,0.425,-0.175,0.2318840579710145,0.5263157894736842,-0.29443173150266966
3,0.10810810810810811,0.25,-0.14189189189189189,0.07142857142857142,0.2777777777777778,-0.20634920634920637,0.1323529411764706,0.2,-0.06764705882352942,0.0875,0.3181818181818182,-0.23068181818181818
4,0.2536231884057971,0.3064516129032258,-0.052828424497428694,0.32432432432432434,0.2608695652173913,0.06345475910693305,0.27692307692307694,0.3023255813953488,-0.02540250447227188,0.2328767123287671,0.3157894736842105,-0.0829127613554434
5,0.19718309859154928,0.3620689655172414,-0.1648858669256921,0.18421052631578946,0.36363636363636365,-0.17942583732057418,0.15942028985507245,0.3939393939393939,-0.23451910408432147,0.2328767123287671,0.32,-0.0871232876712329
6,0.22377622377622378,0.2982456140350877,-0.07446939025886393,0.13513513513513514,0.43478260869565216,-0.299647473560517,0.16393442622950818,0.22580645161290322,-0.061872025383395035,0.2682926829268293,0.38461538461538464,-0.11632270168855535
7,0.20300751879699247,0.26865671641791045,-0.06564919762091798,0.11764705882352941,0.34615384615384615,-0.22850678733031674,0.1864406779661017,0.2608695652173913,-0.0744288872512896,0.21621621621621623,0.2857142857142857,-0.06949806949806947
8,0.11643835616438356,0.2222222222222222,-0.10578386605783865,0.05405405405405406,0.30434782608695654,-0.2502937720329025,0.09333333333333334,0.2777777777777778,-0.18444444444444447,0.14084507042253522,0.1111111111111111,0.029733959311424113
9,0.096,0.32,-0.224,0.0967741935483871,0.3448275862068966,-0.24805339265850948,0.06666666666666667,0.23684210526315788,-0.1701754385964912,0.12307692307692308,0.40540540540540543,-0.28232848232848234
10,0.13768115942028986,0.3225806451612903,-0.18489948574100046,0.2,0.35,-0.14999999999999997,0.14285714285714285,0.2972972972972973,-0.15444015444015446,0.13333333333333333,0.36,-0.22666666666666666
11,0.20863309352517986,0.32786885245901637,-0.1192357589338365,0.1891891891891892,0.2608695652173913,-0.0716803760282021,0.11940298507462686,0.3076923076923077,-0.18828932261768083,0.2916666666666667,0.36363636363636365,-0.07196969696969696
12,0.11428571428571428,0.38333333333333336,-0.2690476190476191,0.125,0.45,-0.325,0.10144927536231885,0.34210526315789475,-0.2406559877955759,0.1267605633802817,0.45454545454545453,-0.32778489116517284
13,0.2127659574468085,0.3050847457627119,-0.09231878831590337,0.2857142857142857,0.3333333333333333,-0.047619047619047616,0.17391304347826086,0.21875,-0.044836956521739135,0.25,0.4074074074074074,-0.15740740740740738
14,0.15,0.2833333333333333,-0.13333333333333333,0.175,0.5,-0.325,0.08620689655172414,0.24242424242424243,-0.1562173458725183,0.1951219512195122,0.3333333333333333,-0.1382113821138211
15,0.1095890410958904,0.3333333333333333,-0.2237442922374429,0.044444444444444446,0.4666666666666667,-0.4222222222222222,0.1232876712328767,0.375,-0.2517123287671233,0.0958904109589041,0.2727272727272727,-0.1768368617683686
16,0.15602836879432624,0.4576271186440678,-0.30159874984974155,0.1794871794871795,0.38095238095238093,-0.20146520146520144,0.15584415584415584,0.5405405405405406,-0.38469638469638473,0.15625,0.3181818181818182,-0.16193181818181818
17,0.22058823529411764,0.296875,-0.07628676470588236,0.1388888888888889,0.3333333333333333,-0.19444444444444442,0.15517241379310345,0.2413793103448276,-0.08620689655172414,0.2692307692307692,0.34285714285714286,-0.07362637362637364
18,0.14864864864864866,0.34615384615384615,-0.1975051975051975,0.13043478260869565,0.5,-0.3695652173913043,0.1323529411764706,0.2222222222222222,-0.08986928104575162,0.1625,0.625,-0.4625
19,0.22377622377622378,0.2982456140350877,-0.07446939025886393,0.24390243902439024,0.3157894736842105,-0.07188703465982027,0.1791044776119403,0.3142857142857143,-0.135181236673774,0.2631578947368421,0.2727272727272727,-0.009569377990430616
