Seed_num,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1
0,0.17164179104477612,0.15151515151515152,0.020126639529624596,0.42105263157894735,0.22727272727272727,0.19377990430622008,0.09803921568627451,0.0,0.09803921568627451,0.21686746987951808,0.2222222222222222,-0.005354752342704133
1,0.19285714285714287,0.21666666666666667,-0.023809523809523808,0.46511627906976744,0.6470588235294118,-0.18194254445964436,0.07547169811320754,0.041666666666666664,0.03380503144654088,0.26436781609195403,0.3333333333333333,-0.06896551724137928
2,0.14893617021276595,0.1864406779661017,-0.03750450775333575,0.3333333333333333,0.3888888888888889,-0.05555555555555558,0.07017543859649122,0.14285714285714285,-0.07268170426065163,0.20238095238095238,0.2,0.0023809523809523725
3,0.12162162162162163,0.2692307692307692,-0.1476091476091476,0.2857142857142857,0.5,-0.2142857142857143,0.1111111111111111,0.0,0.1111111111111111,0.12941176470588237,0.3333333333333333,-0.20392156862745095
4,0.12318840579710146,0.22580645161290322,-0.10261804581580176,0.24324324324324326,0.4782608695652174,-0.23501762632197415,0.08196721311475409,0.1111111111111111,-0.029143897996357013,0.15584415584415584,0.2727272727272727,-0.11688311688311687
5,0.15492957746478872,0.3620689655172414,-0.20713938805245266,0.3157894736842105,0.5454545454545454,-0.2296650717703349,0.12962962962962962,0.21428571428571427,-0.08465608465608465,0.17045454545454544,0.4090909090909091,-0.23863636363636367
6,0.1258741258741259,0.24561403508771928,-0.1197399092135934,0.2972972972972973,0.4782608695652174,-0.1809635722679201,0.109375,0.0,0.109375,0.13924050632911392,0.358974358974359,-0.21973385264524506
7,0.17293233082706766,0.1791044776119403,-0.006172146784872629,0.4117647058823529,0.4230769230769231,-0.011312217194570151,0.10909090909090909,0.0,0.10909090909090909,0.21794871794871795,0.25,-0.03205128205128205
8,0.1095890410958904,0.25925925925925924,-0.14967021816336884,0.21621621621621623,0.4782608695652174,-0.2620446533490012,0.04225352112676056,0.06666666666666667,-0.024413145539906103,0.17333333333333334,0.3333333333333333,-0.15999999999999998
9,0.104,0.29333333333333333,-0.18933333333333335,0.25806451612903225,0.5517241379310345,-0.2936596218020022,0.05084745762711865,0.2,-0.14915254237288136,0.15151515151515152,0.32727272727272727,-0.17575757575757575
10,0.15942028985507245,0.24193548387096775,-0.0825151940158953,0.325,0.45,-0.125,0.0967741935483871,0.13043478260869565,-0.033660589060308554,0.21052631578947367,0.3076923076923077,-0.09716599190283404
11,0.11510791366906475,0.21311475409836064,-0.09800684042929589,0.2972972972972973,0.34782608695652173,-0.050528789659224416,0.1016949152542373,0.14285714285714285,-0.041162227602905554,0.125,0.25,-0.125
12,0.14285714285714285,0.3,-0.15714285714285714,0.3,0.6,-0.3,0.029850746268656716,0.1,-0.07014925373134329,0.2465753424657534,0.4,-0.1534246575342466
13,0.1276595744680851,0.2033898305084746,-0.0757302560403895,0.23809523809523808,0.5,-0.2619047619047619,0.05555555555555555,0.1111111111111111,-0.05555555555555555,0.1724137931034483,0.24390243902439024,-0.07148864592094195
14,0.12142857142857143,0.2,-0.07857142857142858,0.25,0.45,-0.2,0.05660377358490566,0.14285714285714285,-0.08625336927223719,0.16091954022988506,0.23076923076923078,-0.06984969053934573
15,0.15753424657534246,0.16666666666666666,-0.0091324200913242,0.3333333333333333,0.26666666666666666,0.06666666666666665,0.05,0.05555555555555555,-0.00555555555555555,0.23255813953488372,0.2222222222222222,0.010335917312661508
16,0.14893617021276595,0.23728813559322035,-0.0883519653804544,0.358974358974359,0.5238095238095238,-0.16483516483516486,0.06557377049180328,0.05555555555555555,0.01001821493624773,0.2125,0.3170731707317073,-0.10457317073170733
17,0.11764705882352941,0.25,-0.1323529411764706,0.25,0.5,-0.25,0.07142857142857142,0.1,-0.02857142857142858,0.16666666666666666,0.3181818181818182,-0.15151515151515152
18,0.18243243243243243,0.25,-0.06756756756756757,0.391304347826087,0.5714285714285714,-0.18012422360248442,0.10344827586206896,0.12,-0.01655172413793103,0.23333333333333334,0.37037037037037035,-0.137037037037037
19,0.1048951048951049,0.2631578947368421,-0.1582627898417372,0.24390243902439024,0.7368421052631579,-0.4929396662387676,0.03773584905660377,0.05263157894736842,-0.014895729890764646,0.14444444444444443,0.3684210526315789,-0.2239766081871345
