Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1
0,50,0.9966251298026999,0.8589743589743589,0.13765077082834098,0.9981081081081081,0.8764044943820225,0.12170361372608562,0.9939857845817387,0.8418079096045198,0.1521778749772189,0.9990113692535838,0.9122807017543859,0.08673066749919789
1,50,0.9974133471288154,0.9090909090909091,0.08832243803790629,0.998652654271086,0.9221556886227545,0.07649696564833142,0.995778364116095,0.8959537572254336,0.09982460689066142,0.9989852866565195,0.9574468085106383,0.041538478145881186
2,50,0.9968692929819984,0.8814229249011858,0.11544636808081266,0.9980988593155894,0.9030612244897959,0.09503763482579353,0.9951871657754011,0.8660287081339713,0.12915845764142986,0.9984717269485481,0.9545454545454546,0.04392627240309355
3,50,0.9919228764981761,0.8185483870967742,0.17337448940140188,0.9932194195823163,0.8534031413612565,0.1398162782210598,0.9853975121687398,0.8229166666666666,0.1624808455020732,0.9979889391654098,0.8035714285714286,0.19441751059398116
4,50,0.993225638353309,0.8387096774193549,0.15451596093395414,0.994028230184582,0.8608247422680413,0.13320348791654069,0.9905906952430737,0.8186813186813187,0.1719093765617551,0.9958441558441559,0.8939393939393939,0.10190476190476194
5,50,0.9950751684810782,0.8552631578947368,0.1398120105863414,0.9970318402590393,0.872093023255814,0.1249388170032254,0.9930518439337253,0.8579545454545454,0.13509729847917984,0.9969803724207348,0.8461538461538461,0.15082652626688864
6,50,0.9958289885297185,0.828,0.1678289885297185,0.9970100570807284,0.864321608040201,0.13268844904052746,0.9929116684841875,0.8144329896907216,0.1784786787934659,0.9985014985014985,0.875,0.1235014985014985
7,50,0.9937662337662337,0.826271186440678,0.16749504732555576,0.9956686518678939,0.8315217391304348,0.16414691273745907,0.9914255091103966,0.7967914438502673,0.19463406526012927,0.9959677419354839,0.9387755102040817,0.0571922317314022
8,50,0.9953222453222453,0.907563025210084,0.0877592201121613,0.9967646265839849,0.9230769230769231,0.07368770350706177,0.9941613588110403,0.8924731182795699,0.10168824053147041,0.9964358452138493,0.9615384615384616,0.03489738367538775
9,50,0.9968831168831169,0.847457627118644,0.1494254897644729,0.9983735429655733,0.873015873015873,0.12535766994970032,0.994579945799458,0.8367346938775511,0.1578452519219069,0.999002493765586,0.9,0.09900249376558601
10,50,0.9961018711018711,0.8487394957983193,0.14736237530355178,0.9970165446162191,0.8691099476439791,0.12790659697224005,0.9924283396430503,0.8279569892473119,0.16447135039573846,0.9994997498749375,0.9230769230769231,0.07642282679801438
11,50,0.9929815440603067,0.8242677824267782,0.16871376163352847,0.9951219512195122,0.8563829787234043,0.1387389724961079,0.992,0.8033707865168539,0.1886292134831461,0.9939148073022313,0.8852459016393442,0.108668905662887
12,50,0.9945155393053017,0.8715953307392996,0.12292020856600205,0.9959261271048343,0.9183673469387755,0.07755878016605877,0.9904153354632588,0.882051282051282,0.10836405341197675,0.9984623270117888,0.8387096774193549,0.15975264959243396
13,50,0.9935081796935861,0.8212765957446808,0.17223158394890525,0.9945989738050229,0.8514285714285714,0.1431704023764515,0.9890625,0.7914438502673797,0.19761864973262022,0.9979285344381149,0.9375,0.06042853443811491
14,50,0.9958300755798801,0.8353413654618473,0.16048871011803278,0.997014115092291,0.8608247422680413,0.1361893728242497,0.9947173798203909,0.8167539267015707,0.17796345311882023,0.9969135802469136,0.896551724137931,0.10036185610898252
15,50,0.995576372625553,0.8683127572016461,0.12726361542390685,0.9964740981828044,0.8848167539267016,0.11165734425610285,0.9927007299270073,0.8641304347826086,0.12857029514439866,0.9984415584415585,0.8813559322033898,0.11708562623816865
