Seed_num,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1
0,0.8082191780821918,0.6851851851851852,0.12303399289700656,0.9158878504672897,0.7878787878787878,0.12800906258850187,0.8307692307692308,0.7857142857142857,0.04505494505494512,0.7901234567901234,0.65,0.1401234567901234
1,0.7841726618705036,0.7540983606557377,0.030074301214765953,0.883495145631068,0.8378378378378378,0.045657307793230184,0.8269230769230769,0.8888888888888888,-0.06196581196581197,0.7586206896551724,0.6976744186046512,0.060946271050521195
2,0.7638888888888888,0.7321428571428571,0.031746031746031744,0.8076923076923077,0.8333333333333334,-0.02564102564102566,0.8620689655172413,0.7142857142857143,0.14778325123152702,0.6976744186046512,0.7380952380952381,-0.04042081949058696
3,0.7769784172661871,0.7868852459016393,-0.009906828635452225,0.89,0.9,-0.010000000000000009,0.8727272727272727,0.9565217391304348,-0.08379446640316213,0.7142857142857143,0.6842105263157895,0.03007518796992481
4,0.8382352941176471,0.734375,0.10386029411764708,0.9207920792079208,0.8717948717948718,0.048997207413049026,0.9375,0.88,0.057499999999999996,0.7840909090909091,0.6410256410256411,0.14306526806526798
5,0.8467153284671532,0.7936507936507936,0.05306453481635964,0.941747572815534,0.8378378378378378,0.10390973497769618,0.90625,0.8076923076923077,0.09855769230769229,0.7945205479452054,0.7837837837837838,0.010736764161421664
6,0.8308823529411765,0.734375,0.09650735294117652,0.8888888888888888,0.8,0.0888888888888888,0.9661016949152542,1.0,-0.03389830508474578,0.7272727272727273,0.6046511627906976,0.12262156448202965
7,0.8523489932885906,0.7254901960784313,0.12685879721015925,0.8899082568807339,0.9032258064516129,-0.01331754957087894,0.9253731343283582,0.9166666666666666,0.008706467661691586,0.7926829268292683,0.6666666666666666,0.1260162601626017
8,0.7872340425531915,0.7627118644067796,0.024522178146411888,0.8557692307692307,0.8611111111111112,-0.005341880341880434,0.8309859154929577,0.9444444444444444,-0.11345852895148667,0.7428571428571429,0.6829268292682927,0.05993031358885015
9,0.8,0.88,-0.07999999999999996,0.8785046728971962,1.0,-0.12149532710280375,0.8571428571428571,1.0,-0.1428571428571429,0.7586206896551724,0.8333333333333334,-0.074712643678161
10,0.7671232876712328,0.7962962962962963,-0.029173008625063446,0.8411214953271028,0.9090909090909091,-0.06796941376380627,0.7966101694915254,1.0,-0.2033898305084746,0.7471264367816092,0.7380952380952381,0.009031198686371034
11,0.7461538461538462,0.6285714285714286,0.11758241758241761,0.826530612244898,0.7619047619047619,0.06462585034013613,0.803921568627451,0.7,0.10392156862745106,0.7088607594936709,0.6,0.10886075949367091
12,0.7972027972027972,0.7719298245614035,0.02527297264139372,0.8823529411764706,0.8421052631578947,0.04024767801857587,0.921875,0.9375,-0.015625,0.6962025316455697,0.7073170731707317,-0.011114541525162003
13,0.8157894736842105,0.7916666666666666,0.02412280701754388,0.8981481481481481,0.9375,-0.03935185185185186,0.8596491228070176,0.8666666666666667,-0.007017543859649145,0.7894736842105263,0.7575757575757576,0.03189792663476876
14,0.7936507936507936,0.7162162162162162,0.07743457743457738,0.8586956521739131,0.8541666666666666,0.0045289855072464524,0.875,0.8947368421052632,-0.019736842105263164,0.7285714285714285,0.6545454545454545,0.074025974025974
15,0.8120300751879699,0.746268656716418,0.06576141847155192,0.8829787234042553,0.8478260869565217,0.03515263644773359,0.8983050847457628,0.9545454545454546,-0.056240369799691825,0.7432432432432432,0.6444444444444445,0.09879879879879871
16,0.7659574468085106,0.7627118644067796,0.0032455824017310064,0.875,0.9166666666666666,-0.04166666666666663,0.8793103448275862,0.7619047619047619,0.11740558292282433,0.6867469879518072,0.7631578947368421,-0.07641090678503493
17,0.823943661971831,0.8793103448275862,-0.05536668285575519,0.92,0.925,-0.0050000000000000044,0.8813559322033898,1.0,-0.11864406779661019,0.7831325301204819,0.7878787878787878,-0.0047462577583059495
18,0.7972972972972973,0.75,0.04729729729729726,0.8878504672897196,0.8787878787878788,0.00906258850184083,0.9322033898305084,0.8181818181818182,0.1140215716486902,0.7078651685393258,0.7,0.00786516853932584
19,0.8188405797101449,0.6290322580645161,0.18980832164562877,0.87,0.775,0.09499999999999997,0.9344262295081968,0.9,0.03442622950819674,0.7272727272727273,0.5,0.2272727272727273
